ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
79171,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Common Utilities,IC0009708,GL0013072,2019-07-31,2019-08-15,,,0,-838.70
80095,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0009799,GL0013195,2019-07-31,2019-08-15,,,0,-838.70
79164,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0009707,GL0013071,2019-07-31,2019-08-08,,,0,-838.70
79291,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Common Utilities,IC0009720,GL0013096,2019-07-31,2019-08-08,,,0,-838.70
79183,ACT-LT000017,Goldilocks,Invoice,MI-Common Utilities,IC0009710,GL0013074,2019-07-31,2019-08-08,,,0,-838.70
79176,ACT-LT000018,Merry Mango,Invoice,MI-Common Utilities,IC0009709,GL0013073,2019-07-31,2019-08-08,,,0,-838.70
80084,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0009798,GL0013194,2019-07-31,2019-08-15,,,0,-838.70
79245,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0009716,GL0013087,2019-07-31,2019-08-08,,,0,-838.70
79224,ACT-LT000007,The Shawarma Shack,Invoice,MI-Common Utilities,IC0009715,GL0013082,2019-07-31,2019-08-08,,,0,-838.70
79157,ACT-LT000003,Thirsty,Invoice,MI-Common Utilities,IC0009706,GL0013070,2019-07-31,2019-08-08,,,0,-838.70
79190,ACT-LT000004,Turks Shawarma,Invoice,MI-Common Utilities,IC0009711,GL0013075,2019-07-31,2019-08-08,,,0,-838.70
79310,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Common Utilities,IC0009723,GL0013099,2019-07-31,2019-08-15,,,0,-1829.03
79301,ACT-LT000010,Nails Dot Glow,Invoice,MI-Common Utilities,IC0009721,GL0013097,2019-07-31,2019-08-08,,,0,-3274.32
79269,ACT-LT000005,Davids Salon,Invoice,MI-Common Utilities,IC0009719,GL0013093,2019-07-31,2019-08-08,,,0,-5855.03
78665,ACT-LT000012,EO Executive Optical,Invoice,MI-Common Utilities,IC0009660,GL0013001,2019-07-31,2019-08-08,,,0,-6625.81
79320,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Common Utilities,IC0009724,GL0013100,2019-07-31,2019-08-15,,,0,-11673.16
79345,ACT-LT000013,The Prawn Farm,Invoice,MI-Common Utilities,IC0009725,GL0013101,2019-07-31,2019-08-15,,,0,-25412.90
80782,ACT-LT000014,Jollibee,Invoice,MI-Common Utilities,IC0009821,GL0013238,2019-07-31,2019-08-15,,,0,-36976.62
81543,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Common Utilities,IC0009877,GL0013321,2019-08-31,2019-09-08,,,0,-1000.00
81358,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0009843,GL0013287,2019-08-31,2019-09-08,,,0,-1000.00
81383,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0009847,GL0013291,2019-08-31,2019-09-08,,,0,-1000.00
81533,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Common Utilities,IC0009875,GL0013319,2019-08-31,2019-09-08,,,0,-1000.00
81655,ACT-LT000017,Goldilocks,Invoice,MI-Common Utilities,IC0009902,GL0013346,2019-08-31,2019-09-08,,,0,-1000.00
81396,ACT-LT000018,Merry Mango,Invoice,MI-Common Utilities,IC0009849,GL0013293,2019-08-31,2019-09-08,,,0,-1000.00
81372,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0009845,GL0013289,2019-08-31,2019-09-08,,,0,-1000.00
81420,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0009853,GL0013297,2019-08-31,2019-09-08,,,0,-1000.00
81450,ACT-LT000007,The Shawarma Shack,Invoice,MI-Common Utilities,IC0009857,GL0013301,2019-08-31,2019-09-08,,,0,-1000.00
81407,ACT-LT000003,Thirsty,Invoice,MI-Common Utilities,IC0009851,GL0013295,2019-08-31,2019-09-08,,,0,-1000.00
81433,ACT-LT000004,Turks Shawarma,Invoice,MI-Common Utilities,IC0009855,GL0013299,2019-08-31,2019-09-08,,,0,-1000.00
83991,ACT-LT000006,Zamin Foreign Exchange,Invoice,MI-Common Utilities,IC0010305,GL0013849,2019-08-31,2019-09-08,,,0,-2700.00
81561,ACT-LT000010,Nails Dot Glow,Invoice,MI-Common Utilities,IC0009880,GL0013324,2019-08-31,2019-09-08,,,0,-3904.00
81799,ACT-LT000005,Davids Salon,Invoice,MI-Common Utilities,IC0009929,GL0013374,2019-08-31,2019-09-08,,,0,-6981.00
81811,ACT-LT000012,EO Executive Optical,Invoice,MI-Common Utilities,IC0009931,GL0013376,2019-08-31,2019-09-08,,,0,-7900.00
85468,ACT-LT000037,Chowking,Invoice,MI-Common Utilities,IC0010437,GL0014061,2019-08-31,2019-09-15,,,0,-14564.28
87237,ACT-LT000009,Sunburst Fried Chicken,Invoice,MI-Common Utilities,IC0010543,GL0014190,2019-08-31,2019-09-15,,,0,-27836.00
86466,ACT-LT000013,The Prawn Farm,Invoice,MI-Common Utilities,IC0010499,GL0014134,2019-08-31,2019-09-15,,,0,-30300.00
91532,ACT-LT000014,Jollibee,Invoice,MI-Common Utilities,IC0011138,GL0015078,2019-08-31,2019-09-15,,,0,-40938.40
85498,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Invoice,MI-Common Utilities,IC0010438,GL0014062,2019-08-31,2019-09-15,,,0,-301091.70
94616,ACT-LT000029,Mister Donut,Invoice,MI-Common Utilities,IC0011367,GL0015362,2019-09-30,2019-10-10,,,0,-333.33
89774,ACT-LT000019,Ahongs Ngohiong and Fried Chicken,Invoice,MI-Common Utilities,IC0010920,GL0014702,2019-09-30,2019-10-08,,,0,-1000.00
90595,ACT-LT000021,Alvas Chicharon,Invoice,MI-Common Utilities,IC0011006,GL0014875,2019-09-30,2019-10-08,,,0,-1000.00
89611,ACT-LT000002,Antepara Sunglasses,Invoice,MI-Common Utilities,IC0010887,GL0014664,2019-09-30,2019-10-08,,,0,-1000.00
89762,ACT-LT000016,Golden Locket Jewelry Shop,Invoice,MI-Common Utilities,IC0010917,GL0014699,2019-09-30,2019-10-08,,,0,-1000.00
89729,ACT-LT000017,Goldilocks,Invoice,MI-Common Utilities,IC0010911,GL0014691,2019-09-30,2019-10-08,,,0,-1000.00
89669,ACT-LT000018,Merry Mango,Invoice,MI-Common Utilities,IC0010899,GL0014678,2019-09-30,2019-10-08,,,0,-1000.00
89627,ACT-LT000015,Potato Corner,Invoice,MI-Common Utilities,IC0010890,GL0014667,2019-09-30,2019-10-08,,,0,-1000.00
89689,ACT-LT000011,The Lemon Co,Invoice,MI-Common Utilities,IC0010903,GL0014683,2019-09-30,2019-10-08,,,0,-1000.00
