ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
6261,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0000874,GL0001007,2019-10-31,2019-11-08,,,6627.10,0
6265,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0000875,GL0001008,2019-10-31,2019-11-08,,,4542.29,0
6307,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,ASCT-B0000496,GL0001008,2019-10-31,,,,0,-4542.29
6305,ASCT-LT000066,Aiztea,Payment,Rent Receivables,ASCT-B0000496,GL0001007,2019-10-31,,,,0,-6627.10
6813,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0000931,GL0001082,2019-11-30,2019-12-08,,,12840.00,0
6817,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0000932,GL0001083,2019-11-30,2019-12-08,,,2250.00,0
6840,ASCT-LT000066,Aiztea,Payment,Rent Receivables,ASCT-B0000537,GL0001082,2019-11-30,,,,0,-1670.61
7020,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR030383,GL0001083,2019-12-07,,B-001,Land Bank of the Philippines,0,-2250.00
7018,ASCT-LT000066,Aiztea,Payment,Rent Receivables,PR030383,GL0001082,2019-12-07,,B-001,Land Bank of the Philippines,0,-11169.39
7179,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0000963,GL0001130,2019-12-31,2020-01-08,,,12840.00,0
7183,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0000964,GL0001131,2019-12-31,2020-01-08,,,2535.20,0
7576,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR030455,GL0001131,2020-01-08,,B-001,Land Bank of the Philippines,0,-2535.20
7574,ASCT-LT000066,Aiztea,Payment,Rent Receivables,PR030455,GL0001130,2020-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
7916,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0001083,GL0001261,2020-01-31,2020-02-08,,,12840.00,0
7920,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0001084,GL0001262,2020-01-31,2020-02-08,,,3947.40,0
8164,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR030480,GL0001262,2020-02-17,,B-001,Land Bank of the Philippines,0,-3947.40
8162,ASCT-LT000066,Aiztea,Payment,Rent Receivables,PR030480,GL0001261,2020-02-17,,B-001,Land Bank of the Philippines,0,-12840.00
8498,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0001161,GL0001357,2020-02-29,2020-03-08,,,12840.00,0
8502,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0001162,GL0001358,2020-02-29,2020-03-08,,,3586.15,0
8496,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0001160,GL0001356,2020-02-29,2020-03-08,,,69.47,0
8704,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR030492,GL0001356,2020-03-07,,B-001,Land Bank of the Philippines,0,-69.47
8708,ASCT-LT000066,Aiztea,Payment,A/R  Non Trade External,PR030492,GL0001358,2020-03-07,,B-001,Land Bank of the Philippines,0,-3586.15
8706,ASCT-LT000066,Aiztea,Payment,Rent Receivables,PR030492,GL0001357,2020-03-07,,B-001,Land Bank of the Philippines,0,-12840.00
8974,ASCT-LT000066,Aiztea,Invoice,Rent Receivables,ASCT-IC0001240,GL0001443,2020-03-31,2020-04-08,,,6420.00,0
8978,ASCT-LT000066,Aiztea,Invoice,A/R  Non Trade External,ASCT-IC0001241,GL0001444,2020-03-31,2020-04-08,,,2341.35,0
