ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
111511,ICM-LT000056,THE BUZZ CAFE,Payment,Check Receivable - PDC,PR038752,GL0017940,2020-01-06,,B-007,Land Bank of the Philippines,159052.73,0
111513,ICM-LT000056,THE BUZZ CAFE,Payment,Check Receivable - PDC,PR038752,GL0017942,2020-01-06,,B-007,Land Bank of the Philippines,85454.73,0
111517,ICM-LT000042,BODY AND SOLE,Payment,Check Receivable - PDC,PR038754,GL0017733,2020-01-06,,B-007,Land Bank of the Philippines,37093.51,0
111507,ICM-LT000091,YSTILO SALON,Payment,Check Receivable - PDC,PR038751,GL0017526,2020-01-06,,B-007,Land Bank of the Philippines,36379.53,0
111509,ICM-LT000091,YSTILO SALON,Payment,Check Receivable - PDC,PR038751,GL0017529,2020-01-06,,B-007,Land Bank of the Philippines,21526.20,0
111519,ICM-LT000042,BODY AND SOLE,Payment,Check Receivable - PDC,PR038754,GL0017734,2020-01-06,,B-007,Land Bank of the Philippines,17616.00,0
111521,ICM-LT000104,PEANUTWORLD,Payment,Check Receivable - PDC,PR038755,GL0017838,2020-01-06,,B-007,Land Bank of the Philippines,16066.05,0
111525,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Check Receivable - PDC,PR038756,GL0017798,2020-01-06,,B-007,Land Bank of the Philippines,15808.77,0
111527,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Check Receivable - PDC,PR038756,GL0017799,2020-01-06,,B-007,Land Bank of the Philippines,10124.90,0
111523,ICM-LT000104,PEANUTWORLD,Payment,Check Receivable - PDC,PR038755,GL0017840,2020-01-06,,B-007,Land Bank of the Philippines,2731.70,0
111529,ICM-LT000352,PERPAX LAUNDRY AND DRY CLEANING - SR,Payment,Check Receivable - PDC,PR038757,GL0017801,2020-01-06,,B-007,Land Bank of the Philippines,2140.00,0
112537,ICM-LT000066,LOTTO,Payment,Check Receivable - PDC,PR038790,GL0017661,2020-01-09,,B-007,Land Bank of the Philippines,17655.00,0
112680,ICM-LT000065,MIGUELITOS FRIED ICE CREAM,Payment,Check Receivable - PDC,PR038795,GL0017663,2020-01-09,,B-007,Land Bank of the Philippines,17120.00,0
112682,ICM-LT000065,MIGUELITOS FRIED ICE CREAM,Payment,Check Receivable - PDC,PR038795,GL0017664,2020-01-09,,B-007,Land Bank of the Philippines,3778.20,0
112539,ICM-LT000066,LOTTO,Payment,Check Receivable - PDC,PR038790,GL0017662,2020-01-09,,B-007,Land Bank of the Philippines,1616.90,0
118118,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Check Receivable - PDC,PR038920,GL0018279,2020-02-04,,B-007,Land Bank of the Philippines,26750.00,0
118116,ICM-ST000228,JOJIES PA-INITANG BOL-ANON - SHORTERM,Payment,Check Receivable - PDC,PR038920,GL0018278,2020-02-04,,B-007,Land Bank of the Philippines,34.52,0
118273,ICM-LT000091,YSTILO SALON,Payment,Check Receivable - PDC,PR038930,GL0018728,2020-02-05,,B-007,Land Bank of the Philippines,37473.21,0
118259,ICM-LT000042,BODY AND SOLE,Payment,Check Receivable - PDC,PR038926,GL0018966,2020-02-05,,B-007,Land Bank of the Philippines,37093.51,0
118295,ICM-LT000075,UNISILVER TIME,Payment,Check Receivable - PDC,PR038935,GL0018878,2020-02-05,,B-007,Land Bank of the Philippines,35604.25,0
118275,ICM-LT000091,YSTILO SALON,Payment,Check Receivable - PDC,PR038930,GL0018731,2020-02-05,,B-007,Land Bank of the Philippines,22908.20,0
118261,ICM-LT000042,BODY AND SOLE,Payment,Check Receivable - PDC,PR038926,GL0018967,2020-02-05,,B-007,Land Bank of the Philippines,20778.00,0
118269,ICM-LT000104,PEANUTWORLD,Payment,Check Receivable - PDC,PR038929,GL0019020,2020-02-05,,B-007,Land Bank of the Philippines,16066.05,0
118263,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Check Receivable - PDC,PR038927,GL0018953,2020-02-05,,B-007,Land Bank of the Philippines,15808.77,0
118265,ICM-LT000127,PERPAX LAUNDRY AND DRY CLEANING,Payment,Check Receivable - PDC,PR038927,GL0018954,2020-02-05,,B-007,Land Bank of the Philippines,12138.90,0
118297,ICM-LT000075,UNISILVER TIME,Payment,Check Receivable - PDC,PR038935,GL0018879,2020-02-05,,B-007,Land Bank of the Philippines,6899.00,0
