ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
5314,ASCT-LT000061,A and A Cafeteria,Invoice,Rent Receivables,ASCT-IC0000742,GL0000848,2019-08-31,2019-09-08,,,3548.39,0
5356,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-IC0000747,GL0000855,2019-08-31,2019-09-08,,,2428.98,0
5468,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PR030291,GL0000855,2019-09-09,,B-001,Land Bank of the Philippines,0,-2428.98
5466,ASCT-LT000061,A and A Cafeteria,Payment,Rent Receivables,PR030291,GL0000848,2019-09-09,,B-001,Land Bank of the Philippines,0,-3548.39
5754,ASCT-LT000061,A and A Cafeteria,Invoice,Rent Receivables,ASCT-IC0000807,GL0000919,2019-09-30,2019-10-08,,,5000.00,0
5758,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-IC0000808,GL0000920,2019-09-30,2019-10-08,,,3683.50,0
5936,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030334,GL0000920,2019-10-08,,? undefined:undefined ?,? undefined:undefined ?,0,-3683.50
5934,ASCT-LT000061,A and A Cafeteria,Payment,Rent Receivables,PROR# 030334,GL0000919,2019-10-08,,? undefined:undefined ?,? undefined:undefined ?,0,-5000.00
6254,ASCT-LT000061,A and A Cafeteria,Invoice,Rent Receivables,ASCT-IC0000872,GL0001005,2019-10-31,2019-11-08,,,5000.00,0
6258,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-IC0000873,GL0001006,2019-10-31,2019-11-08,,,3603.00,0
8202,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030449,GL0001006,2019-11-11,,B-001,Land Bank of the Philippines,0,-3603.00
8200,ASCT-LT000061,A and A Cafeteria,Payment,Rent Receivables,PROR# 030449,GL0001005,2019-11-11,,B-001,Land Bank of the Philippines,0,-5000.00
6806,ASCT-LT000061,A and A Cafeteria,Invoice,Rent Receivables,ASCT-IC0000929,GL0001080,2019-11-30,2019-12-08,,,5000.00,0
6810,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-IC0000930,GL0001081,2019-11-30,2019-12-08,,,3660.50,0
6841,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-B0000538,GL0001085,2019-11-30,2019-11-08,,,172.06,0
7095,ASCT-LT000061,A and A Cafeteria,Payment,A/R  Non Trade External,PROR# 030416,GL0001081,2019-12-10,,B-001,Land Bank of the Philippines,0,-3660.50
7093,ASCT-LT000061,A and A Cafeteria,Payment,Rent Receivables,PROR# 030416,GL0001080,2019-12-10,,B-001,Land Bank of the Philippines,0,-5000.00
7202,ASCT-LT000061,A and A Cafeteria,Invoice,Rent Receivables,ASCT-IC0000967,GL0001136,2019-12-31,2020-01-08,,,5000.00,0
7206,ASCT-LT000061,A and A Cafeteria,Invoice,A/R  Non Trade External,ASCT-IC0000968,GL0001137,2019-12-31,2020-01-08,,,3603.00,0
