ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
840,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000123,GL0000137,2018-09-30,2018-10-08,,,12840.00,0
844,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-DM0000002,GL0000138,2018-09-30,2018-10-08,,,3424.00,0
853,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,ASCT-B0000084,GL0000138,2018-09-30,,,,0,-3424.00
855,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,ASCT-B0000084,GL0000137,2018-09-30,,,,0,-9416.00
893,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PRPR030073,GL0000139,2018-10-02,,B-001,Land Bank of the Philippines,0,-1150.00
891,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PRPR030073,GL0000137,2018-10-02,,B-001,Land Bank of the Philippines,0,-3424.00
1046,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000151,GL0000173,2018-10-31,2018-11-08,,,12840.00,0
1073,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000152,GL0000174,2018-10-31,2018-11-08,,,9557.39,0
1078,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000153,GL0000175,2018-10-31,2018-11-08,,,6319.25,0
1177,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030091,GL0000175,2018-11-08,,B-001,Land Bank of the Philippines,0,-6319.25
1175,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030091,GL0000174,2018-11-08,,B-001,Land Bank of the Philippines,0,-9557.39
1173,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030091,GL0000173,2018-11-08,,B-001,Land Bank of the Philippines,0,-12840.00
1408,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000211,GL0000241,2018-11-30,2018-12-08,,,12840.00,0
1492,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000221,GL0000255,2018-11-30,2018-12-08,,,7048.25,0
1282,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000182,GL0000209,2018-11-30,2018-12-08,,,200.00,0
1616,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030105,GL0000209,2018-12-08,,B-001,Land Bank of the Philippines,0,-200.00
1620,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030105,GL0000255,2018-12-08,,B-001,Land Bank of the Philippines,0,-7048.25
1618,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030105,GL0000241,2018-12-08,,B-001,Land Bank of the Philippines,0,-12840.00
1798,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000253,GL0000296,2018-12-31,2019-01-08,,,12840.00,0
1802,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000254,GL0000297,2018-12-31,2019-01-08,,,7475.00,0
1844,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000261,GL0000304,2018-12-31,2019-01-08,,,200.00,0
1951,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030121,GL0000304,2019-01-09,,B-001,Land Bank of the Philippines,0,-200.00
1949,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030121,GL0000297,2019-01-09,,B-001,Land Bank of the Philippines,0,-7475.00
1947,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030121,GL0000296,2019-01-09,,B-001,Land Bank of the Philippines,0,-12840.00
2088,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000298,GL0000340,2019-01-31,2019-02-08,,,12840.00,0
2092,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000299,GL0000341,2019-01-31,2019-02-08,,,5865.00,0
2165,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000312,GL0000360,2019-01-31,2019-02-08,,,200.00,0
2356,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030128,GL0000360,2019-02-06,,B-001,Land Bank of the Philippines,0,-200.00
2354,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030128,GL0000341,2019-02-06,,B-001,Land Bank of the Philippines,0,-5865.00
2352,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030128,GL0000340,2019-02-06,,B-001,Land Bank of the Philippines,0,-12840.00
2510,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000355,GL0000412,2019-02-28,2019-03-08,,,12840.00,0
2514,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000356,GL0000413,2019-02-28,2019-03-08,,,4846.00,0
2698,ASCT-LT000019,LEYLAM,Payment,A/R  Non Trade External,PR030143/CHECK1845744,GL0000413,2019-03-04,,B-001,Land Bank of the Philippines,0,-4846.00
2696,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030143/CHECK1845744,GL0000412,2019-03-04,,B-001,Land Bank of the Philippines,0,-12840.00
3175,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PR030164,GL0000460,2019-03-29,,B-001,Land Bank of the Philippines,0,-384.00
2842,ASCT-LT000019,LEYLAM,Invoice,Rent Receivables,ASCT-IC0000398,GL0000460,2019-03-31,2019-04-08,,,12840.00,0
2846,ASCT-LT000019,LEYLAM,Invoice,A/R  Non Trade External,ASCT-IC0000399,GL0000461,2019-03-31,2019-04-08,,,5904.00,0
