ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
1903,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000269,GL0000312,2018-12-31,2019-01-08,,,189600.11,0
1899,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000268,GL0000311,2018-12-31,2019-01-08,,,182631.16,0
1911,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000157,GL0000311,2018-12-31,,,,0,-144182.50
2567,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PRPBI#974/JV#02-692,GL0000355,2019-01-03,,,,0,-24080.51
2561,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000311,2019-01-03,,,,0,-38448.66
2565,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRPBI#974/JV#02-692,GL0000354,2019-01-03,,,,0,-144182.50
2563,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PRPBI#974/JV#02-692,GL0000312,2019-01-03,,,,0,-189600.11
2149,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000309,GL0000355,2019-01-31,2019-02-08,,,144348.30,0
2145,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000308,GL0000354,2019-01-31,2019-02-08,,,144182.50,0
2157,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000310,GL0000356,2019-01-31,2019-02-08,,,23117.30,0
2571,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PR030133/CHECK#1443167,GL0000356,2019-02-08,,B-001,Land Bank of the Philippines,0,-23117.30
2569,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PR030133/CHECK#1443167,GL0000355,2019-02-08,,B-001,Land Bank of the Philippines,0,-120267.79
2643,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000371,GL0000429,2019-02-28,2019-03-08,,,145169.13,0
2588,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000365,GL0000423,2019-02-28,2019-03-08,,,144182.50,0
2658,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000212,GL0000423,2019-02-28,,,,0,-34977.51
2704,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PR030142/CHECK1443175,GL0000423,2019-03-06,,B-001,Land Bank of the Philippines,0,-109204.99
2706,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PR030142/CHECK1443175,GL0000429,2019-03-06,,B-001,Land Bank of the Philippines,0,-145169.13
2874,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000405,GL0000467,2019-03-31,2019-04-08,,,146659.62,0
2870,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000404,GL0000466,2019-03-31,2019-04-08,,,144182.50,0
2881,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000228,GL0000466,2019-03-31,,,,0,-49494.43
3231,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PROR#030205/CHECK#1443184,GL0000466,2019-04-04,,B-001,Land Bank of the Philippines,0,-94688.07
3233,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PROR#030205/CHECK#1443184,GL0000467,2019-04-04,,B-001,Land Bank of the Philippines,0,-146659.62
3538,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000480,GL0000549,2019-04-30,2019-05-08,,,343436.88,0
3513,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000478,GL0000547,2019-04-30,2019-05-08,,,144182.50,0
3547,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000270,GL0000547,2019-04-30,,,,0,-62863.30
3798,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PR030215/CHCK#1443194,GL0000547,2019-05-08,,B-001,Land Bank of the Philippines,0,-81319.20
3800,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PR030215/CHCK#1443194,GL0000549,2019-05-08,,B-001,Land Bank of the Philippines,0,-343436.88
4043,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000541,GL0000624,2019-05-31,2019-06-08,,,214171.38,0
4039,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000540,GL0000623,2019-05-31,2019-06-08,,,144182.50,0
4052,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000306,GL0000623,2019-05-31,,,,0,-97206.99
4235,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PR030234/CHECK#158716,GL0000623,2019-06-06,,B-001,Land Bank of the Philippines,0,-46975.51
4237,ASCT-LT000033,ABENSON,Payment,A/R  Non Trade External,PR030234/CHECK#158716,GL0000624,2019-06-06,,B-001,Land Bank of the Philippines,0,-214171.38
4425,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000595,GL0000683,2019-06-30,2019-07-08,,,169475.82,0
4421,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0000594,GL0000682,2019-06-30,2019-07-08,,,144182.50,0
4540,ASCT-LT000033,ABENSON,Invoice,A/R  Non Trade External,ASCT-IC0000616,GL0000705,2019-06-30,2019-07-08,,,-3389.52,0
4543,ASCT-LT000033,ABENSON,Payment,Rent Receivables,ASCT-B0000357,GL0000682,2019-06-30,,,,0,-111630.49
4600,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PR030247/CHECK1587168,GL0000682,2019-07-05,,B-001,Land Bank of the Philippines,0,-32552.01
