ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2310,ASCT-LT000034,RED RIBBON,Invoice,A/R  Non Trade External,ASCT-IC0000325,GL0000382,2018-12-31,2019-01-08,,,23897.97,0
2306,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000324,GL0000381,2018-12-31,2019-01-08,,,14317.64,0
2318,ASCT-LT000034,RED RIBBON,Invoice,A/R  Non Trade External,ASCT-IC0000327,GL0000384,2019-01-31,2019-02-08,,,31149.84,0
2314,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000326,GL0000383,2019-01-31,2019-02-08,,,22192.33,0
2583,ASCT-LT000034,RED RIBBON,Invoice,A/R  Non Trade External,ASCT-IC0000364,GL0000422,2019-02-28,2019-03-08,,,36376.74,0
2574,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000363,GL0000421,2019-02-28,2019-03-08,,,22192.33,0
3771,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#3-1737,GL0000381,2019-02-28,,,,0,-14317.64
3777,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#3-1739,GL0000383,2019-02-28,,,,0,-22192.33
3773,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#3-1737,GL0000382,2019-02-28,,,,0,-23897.97
3779,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#3-1739,GL0000384,2019-02-28,,,,0,-31149.84
3767,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#3-2330,GL0000421,2019-03-30,,,,0,-22192.33
3769,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#3-2330,GL0000422,2019-03-30,,,,0,-36376.74
2886,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000407,GL0000469,2019-03-31,2019-04-08,,,31927.74,0
2882,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000406,GL0000468,2019-03-31,2019-04-08,,,22192.33,0
4169,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#4-1559,GL0000468,2019-04-10,,,,0,-12192.33
4171,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#4-1559,GL0000469,2019-04-10,,,,0,-31927.74
3667,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000494,GL0000566,2019-04-30,2019-05-08,,,30725.24,0
3408,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000465,GL0000532,2019-04-30,2019-05-08,,,22192.33,0
3950,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000526,GL0000606,2019-05-31,2019-06-08,,,29098.74,0
3946,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000525,GL0000605,2019-05-31,2019-06-08,,,22192.33,0
3956,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,ASCT-B0000298,GL0000468,2019-05-31,,,,0,-10000.00
4625,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#5-1130,GL0000532,2019-06-01,,,,0,-12192.33
4627,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#5-1130,GL0000566,2019-06-01,,,,0,-30725.24
4438,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000597,GL0000685,2019-06-30,2019-07-08,,,37114.24,0
4434,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000596,GL0000684,2019-06-30,2019-07-08,,,22192.33,0
4444,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,ASCT-B0000344,GL0000532,2019-06-30,,,,0,-10000.00
5474,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV# 07-1345,GL0000605,2019-07-01,,,,0,-12192.33
5476,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 07-1345,GL0000606,2019-07-01,,,,0,-29098.74
5470,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV# 07-1882,GL0000684,2019-07-03,,,,0,-22192.33
5472,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 07-1882,GL0000685,2019-07-03,,,,0,-37114.24
4792,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000650,GL0000745,2019-07-31,2019-08-08,,,27511.74,0
4788,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000649,GL0000744,2019-07-31,2019-08-08,,,22192.33,0
4798,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,ASCT-B0000372,GL0000605,2019-07-31,,,,0,-10000.00
5488,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV# 08-1462,GL0000744,2019-08-07,,,,0,-22192.33
5490,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 08-1462,GL0000745,2019-08-07,,,,0,-27511.74
5226,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000725,GL0000831,2019-08-31,2019-09-08,,,30892.74,0
5222,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000724,GL0000830,2019-08-31,2019-09-08,,,22192.33,0
6586,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV# 09001687,GL0000898,2019-09-18,,,,0,-10000.00
6582,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV# 09001687,GL0000830,2019-09-18,,,,0,-12192.33
6584,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV# 09001687,GL0000831,2019-09-18,,,,0,-30892.74
5792,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,ASCT-B0000445,GL0000830,2019-09-27,,,,0,-10000.00
5667,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000787,GL0000899,2019-09-30,2019-10-08,,,32583.24,0
5663,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000786,GL0000898,2019-09-30,2019-10-08,,,22192.33,0
7661,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#10001114,GL0000981,2019-10-11,,,,0,-10000.00
7657,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#10001114,GL0000898,2019-10-11,,,,0,-12192.33
7659,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#10001114,GL0000899,2019-10-11,,,,0,-32583.24
6158,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000850,GL0000982,2019-10-31,2019-11-08,,,25543.74,0
6154,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000849,GL0000981,2019-10-31,2019-11-08,,,22192.33,0
7667,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#11001672,GL0001062,2019-11-29,,,,0,-10000.00
7663,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#11001672,GL0000981,2019-11-29,,,,0,-12192.33
7665,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#11001672,GL0000982,2019-11-29,,,,0,-25543.74
6728,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000912,GL0001063,2019-11-30,2019-12-08,,,32323.74,0
6724,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000911,GL0001062,2019-11-30,2019-12-08,,,22192.33,0
9677,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#12001669,GL0001062,2019-12-09,,,,0,-12192.33
9679,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#12001669,GL0001063,2019-12-09,,,,0,-32323.74
7297,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0000988,GL0001159,2019-12-31,2020-01-08,,,30564.24,0
7293,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0000987,GL0001158,2019-12-31,2020-01-08,,,22192.33,0
9683,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#1002850,GL0001158,2020-01-23,,,,0,-22192.33
9685,ASCT-LT000034,RED RIBBON,Payment,A/R Non Trade Internal,PRJV#1002850,GL0001159,2020-01-23,,,,0,-30564.24
7809,ASCT-LT000034,RED RIBBON,Invoice,A/R Non Trade Internal,ASCT-IC0001060,GL0001235,2020-01-31,2020-02-08,,,43720.24,0
7805,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0001059,GL0001234,2020-01-31,2020-02-08,,,22192.33,0
9667,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#2001675,GL0001234,2020-02-15,,,,0,-12192.33
