ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
163246,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Receivables,IC0024443,GL0026177,2021-01-01,2021-01-10,,,26750.00,0
163248,ACT-LT000124,Smart Antenna-Rent,Invoice,Creditable WHT Receivable,IC0024443,GL0026177,2021-01-01,2021-01-10,,,1250.00,0
163247,ACT-LT000124,Smart Antenna-Rent,Invoice,VAT Output,IC0024443,GL0026177,2021-01-01,2021-01-10,,,0,-3000.00
163249,ACT-LT000124,Smart Antenna-Rent,Invoice,Rent Income,IC0024443,GL0026177,2021-01-01,2021-01-10,,,0,-25000.00
165478,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002412,GL0026592,2021-01-02,,B-003,PNB,5000.00,0
159413,ACT-ST000009,President Carlos P. Garcia Chess Club,Invoice,Rent Receivables,IC0023001,GL0025529,2021-01-02,2021-01-10,,,3000.00,0
159416,ACT-ST000009,President Carlos P. Garcia Chess Club,Invoice,Rent Income,IC0023001,GL0025529,2021-01-02,2021-01-10,,,0,-3000.00
165479,ACT-ST000013,Alta Citta Bazaar,Payment,Unearned Rent Income,PR0002412,GL0026592,2021-01-02,,B-003,PNB,0,-5000.00
169903,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables-RR Clearing,PR0002143,GL0026196,2021-01-04,,B-003,PNB,9630.00,0
165639,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002413,GL0026617,2021-01-04,,B-003,PNB,5000.00,0
169905,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External-AR Clearing,PR0002143,GL0026198,2021-01-04,,B-003,PNB,3712.00,0
169906,ACT-LT000002,Antepara Sunglasses,Payment,A/R  Non Trade External,PR0002143,GL0026198,2021-01-04,,B-003,PNB,0,-3712.00
165640,ACT-ST000013,Alta Citta Bazaar,Payment,Unearned Rent Income,PR0002413,GL0026617,2021-01-04,,B-003,PNB,0,-5000.00
169904,ACT-LT000002,Antepara Sunglasses,Payment,Rent Receivables,PR0002143,GL0026196,2021-01-04,,B-003,PNB,0,-9630.00
166065,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR0002414,GL0025457,2021-01-06,,B-003,PNB,10390.40,0
166063,ACT-LT000021,Alvas Chicharon,Payment,Cash in Bank (Peso),PR0002414,GL0025456,2021-01-06,,B-003,PNB,8025.00,0
166064,ACT-LT000021,Alvas Chicharon,Payment,Rent Receivables,PR0002414,GL0025456,2021-01-06,,B-003,PNB,0,-8025.00
166066,ACT-LT000021,Alvas Chicharon,Payment,A/R  Non Trade External,PR0002414,GL0025457,2021-01-06,,B-003,PNB,0,-10390.40
166254,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002415,GL0026691,2021-01-07,,B-003,PNB,5000.00,0
166256,ACT-ST000013,Alta Citta Bazaar,Payment,Cash in Bank (Peso),PR0002416,GL0026692,2021-01-07,,B-003,PNB,5000.00,0
166255,ACT-ST000013,Alta Citta Bazaar,Payment,Unearned Rent Income,PR0002415,GL0026691,2021-01-07,,B-003,PNB,0,-5000.00
166257,ACT-ST000013,Alta Citta Bazaar,Payment,Unearned Rent Income,PR0002416,GL0026692,2021-01-07,,B-003,PNB,0,-5000.00
168349,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Rent Receivables-RR Clearing,PR0002148,GL0025458,2021-01-08,,B-003,PNB,2091303.76,0
168347,ACT-LT000001,"Ibex Global Solutions (Philippines), Inc.",Payment,Cash in Bank (Peso),UFT0002967,GL0025458,2021-01-08,,B-003,PNB,2091303.76,0
166620,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002417,GL0026175,2021-01-08,,B-003,PNB,26143.85,0
166622,ACT-LT000005,Davids Salon,Payment,Cash in Bank (Peso),PR0002417,GL0026176,2021-01-08,,B-003,PNB,19949.70,0
168380,ACT-ST000008,Ibex Global,Payment,Rent Receivables-RR Clearing,PR0002149,GL0025528,2021-01-08,,B-003,PNB,16406.66,0
168378,ACT-ST000008,Ibex Global,Payment,Cash in Bank (Peso),UFT0002970,GL0025528,2021-01-08,,B-003,PNB,16406.66,0
169899,ACT-LT000002,Antepara Sunglasses,Payment,Cash in Bank (Peso),UFT0003016,GL0026196,2021-01-08,,B-003,PNB,9630.00,0
